date,exports
1960,4.46315645554752
1961,4.30358618999823
1962,4.16897528321772
1963,4.28050338490125
1964,3.72555117263129
1965,3.30747278088062
1966,4.14255065953483
1967,4.03444499534157
1968,4.03877100579767
1969,3.71384282048158
1970,3.78282506202996
1971,3.66720521706169
1972,4.02748926155276
1973,4.20876319232872
1974,4.83132100337
1975,5.64706215785578
1976,6.68651286166981
1977,6.38317181373801
1978,6.3148252345082
1979,6.74963815730053
1980,6.13955113216183
1981,5.93602662657806
1982,5.98329984863978
1983,5.83762942427856
1984,6.28340139288612
1985,5.25455499628708
1986,5.19622166035989
1987,5.60458088400396
1988,6.03521975491128
1989,7.01613027794311
1990,7.05335023414457
1991,8.49424077053547
1992,8.84292692502088
1993,9.83421745486326
1994,9.8880849164454
1995,10.8439680350622
1996,10.3851692716063
1997,10.690717318379
1998,11.0184691793102
1999,11.4520646128009
2000,12.9972363113479
2001,12.5583796339108
2002,14.2643839243147
2003,14.9479138581734
2004,17.8591249630479
2005,19.6052466948335
2006,21.2679414221966
2007,20.7996997489032
2008,24.0973572601391
2009,20.4005193743564
2010,22.4009332487945
2011,24.5404113195713
2012,24.534430661418
2013,25.430861300519
2014,22.9679630081172
2015,19.8131891564045
2016,19.1582349105946
2017,18.7917648392982
2018,19.9278285988562
2019,18.664264897257
2020,18.6824769296756
2021,21.3991583305515
2022,24.0401716365956
2023,22.354801966733
2024,22.0639816354399
2025,22.2630410669804
