date,imports
1960,6.83367665684214
1961,5.95757640481098
1962,6.03181489602947
1963,5.906834458192
1964,5.68499774745833
1965,5.21156158863706
1966,6.67168685167188
1967,5.9466176727645
1968,4.94297346978222
1969,4.03093382296742
1970,3.87894427591553
1971,4.0024013413633
1972,3.7089103356951
1973,4.72333282644382
1974,6.02056925035338
1975,6.64691605612949
1976,6.11469021101389
1977,6.26492932381485
1978,6.58818660797672
1979,8.16916637407572
1980,9.24502571634426
1981,8.57123813504237
1982,8.14262790090769
1983,7.85296446260169
1984,7.72597455124279
1985,7.64548119786163
1986,7.02305023901268
1987,6.98023315167182
1988,7.45523036139042
1989,8.15200181272641
1990,8.45291127605198
1991,8.49348578059959
1992,9.59017211680717
1993,9.81732233160511
1994,10.1900594604801
1995,12.0234806711877
1996,11.5443185997804
1997,11.9286695486689
1998,12.6810008997545
1999,13.363533431492
2000,13.9036865990995
2001,13.4348751195257
2002,15.2442790107467
2003,15.6445222747346
2004,19.6446890963991
2005,22.3964229200356
2006,24.4565390770687
2007,24.8865689304448
2008,29.2708631790835
2009,25.8723502685274
2010,26.8542732486216
2011,31.0834686939585
2012,31.2592910673332
2013,28.4132706461587
2014,25.9542227389497
2015,22.1097247094602
2016,20.9242508026814
2017,21.9507321152243
2018,23.6891407335327
2019,21.2411386333872
2020,19.0756283996012
2021,24.0239304534931
2022,26.6577666392086
2023,23.9681500915008
2024,23.8527091324349
2025,24.0051596190103
