date,gdp_growth
1960,
1961,3.72274253269822
1962,2.93112773665958
1963,5.99435326095178
1964,7.45295012232975
1965,-2.63577010985361
1966,-0.0553287698318314
1967,7.82596303033105
1968,3.38792917600242
1969,6.53970029628042
1970,5.15722973608261
1971,1.64293038388766
1972,-0.553301312377712
1973,3.29552113522354
1974,1.18533626034039
1975,9.14991201480592
1976,1.66310363661279
1977,7.25476458583569
1978,5.71253208900188
1979,-5.2381827027895
1980,6.7358215279985
1981,6.00620362381767
1982,3.47573324031237
1983,7.28889290124586
1984,3.8207378559735
1985,5.25429922330889
1986,4.77656417048946
1987,3.96535563390576
1988,9.62778291984834
1989,5.94734332826503
1990,5.53345456306495
1991,1.05683143296179
1992,5.48239602167003
1993,4.7507762195799
1994,6.65892406747307
1995,7.57449184027195
1996,7.54952224888829
1997,4.04982084902483
1998,6.18441582080355
1999,8.84575556114116
2000,3.84099115686554
2001,4.82396626397303
2002,3.80397532120038
2003,7.86038147545045
2004,7.92293661307978
2005,7.92343062131789
2006,8.06073257305057
2007,7.66081506510766
2008,3.08669805950082
2009,7.8618888330338
2010,8.49758470165625
2011,5.24131620024293
2012,5.45638755164772
2013,6.38610640091713
2014,7.41022760516977
2015,7.99625378567987
2016,8.25630550176662
2017,6.79538341902422
2018,6.45385134495295
2019,3.87143694070524
2020,-5.77772470687303
2021,9.68959249191741
2022,7.6093649776932
2023,7.210224629335
2024,7.09927893176518
2025,7.56666179284244
